335	Defense	18	50	3	12:16:45 AM
336	Defense	5	33	3	12:16:52 AM
337	Pass	6	77	3	12:16:53 AM
338	Spike	9	81	3	12:16:54 AM
339	Spiked	9	31	3	12:16:56 AM
340	Defense	18	50	3	12:17:01 AM
341	Pass	6	75	3	12:17:01 AM
342	Spiked	6	57	3	12:17:02 AM
343	Defense	18	39	3	12:17:04 AM
344	Pass	6	76	3	12:17:06 AM
345	Spike	2	74	3	12:17:07 AM
346	Spiked	2	36	3	12:17:07 AM
347	Served	18	23	4	12:00:57 AM
348	Defense	18	41	4	12:01:02 AM
349	Pass	6	76	4	12:01:03 AM
350	Spike	9	80	4	12:01:05 AM
351	Spiked	9	34	4	12:01:06 AM
352	Served	18	20	4	12:01:37 AM
353	Ground		8	4	12:01:45 AM
354	Defense	4	35	4	12:02:01 AM
355	Pass	6	58	4	12:02:02 AM
356	Spike	2	81	4	12:02:04 AM
357	Spiked	2	25	4	12:02:05 AM
358	Ground		65	4	12:02:09 AM
359	Defense	5	33	4	12:02:24 AM
360	Pass	4	25	4	12:02:26 AM
361	Spike	9	55	4	12:02:28 AM
362	Spiked	9	43	4	12:02:29 AM
363	Defense	5	57	4	12:02:32 AM
364	Pass	6	67	4	12:02:33 AM
365	Spike	9	66	4	12:02:34 AM
366	Spiked	9	26	4	12:02:35 AM
367	Served	9	23	4	12:03:00 AM
368	Defense	6	74	4	12:03:04 AM
369	Pass	2	73	4	12:03:04 AM
370	Defense	9	30	4	12:03:55 AM
371	Pass	6	77	4	12:03:56 AM
372	Spike	4	80	4	12:03:58 AM
373	Spiked	4	Side Out 1	4	12:03:59 AM
374	Defense	9	39	4	12:04:21 AM
375	Pass	6	68	4	12:04:22 AM
376	Spike	2	75	4	12:04:23 AM
377	Spiked	2	35	4	12:04:24 AM
378	Served	6	22	4	12:04:55 AM
379	Served	6	21	4	12:05:27 AM
380	Defense	9	30	6	12:00:48 AM
381	Pass	6	74	6	12:00:49 AM
382	Defense	13	31	6	12:01:06 AM
383	Pass	6	75	6	12:01:07 AM
384	Spike	4	80	6	12:01:09 AM
385	Spiked	4	75	6	12:01:10 AM
386	Served	6	35	6	12:01:29 AM
387	Defense	13	33	6	12:01:33 AM
388	Pass	6	57	6	12:01:34 AM
389	Spike	4	81	6	12:01:36 AM
390	Ground		70	6	12:01:37 AM
